Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,40765479926
AA,Alcoa,Aluminum,7449888684
AAC,Ares Acquisition,Shell Companies,743730074
AACG,ATA Creativity Global,Education & Training Services,59929879
AACI,Armada Acquisition I,Shell Companies,208958855
AADI,Aadi Bioscience,Biotechnology,182544390
AAIC,Arlington Asset Investment,REIT - Mortgage,79426760
AAL,American Airlines Group,Airlines,9413621486
AAMC,Altisource Asset Management,Asset Management,119296233
AAME,Atlantic American,Insurance - Life,48881280
AAN,The Aaron's Company,Rental & Leasing Services,308119240
AAOI,Applied Optoelectronics,Semiconductors,66531141
AAON,"AAON, Inc.",Building Products & Equipment,5188230614
AAP,Advance Auto Parts,Specialty Retail,7272302522
AAPL,Apple,Consumer Electronics,2629125085778
AAT,American Assets Trust,REIT - Diversified,1407258965
AAU,Almaden Minerals,Gold,26469929
AB,AllianceBernstein Holding L.P.,Asset Management,4062695700
ABB,ABB Ltd,Electrical Equipment & Parts,63943755551
ABBV,AbbVie,Drug Manufacturers - General,283003343933
ABC,AmerisourceBergen,Medical Distribution,32822428240
ABCB,Ameris Bancorp,Banks - Regional,2497166150
ABCL,AbCellera Biologics,Biotechnology,2151891400
ABCM,Abcam,Biotechnology,2942047300
ABEO,Abeona Therapeutics,Biotechnology,50116470
ABEV,Ambev,Beverages - Brewers,44234177270
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4556251030
ABIO,ARCA biopharma,Biotechnology,28099695
ABM,ABM Industries,Specialty Business Services,2970803640
ABNB,Airbnb,Travel Services,76681227263
ABOS,Acumen Pharmaceuticals,Biotechnology,176818181
ABR,Arbor Realty Trust,REIT - Mortgage,2060725832
ABSI,Absci,Biotechnology,166310813
ABST,Absolute Software,Software - Application,425631776
ABT,Abbott Laboratories,Medical Devices,176558335624
ABUS,Arbutus Biopharma,Biotechnology,497467284
ABVC,ABVC BioPharma,Biotechnology,20953200
AC,Associated Capital Group,Capital Markets,818571872
ACA,Arcosa,Infrastructure Operations,3042321689
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,389250010
ACAC,Acri Capital Acquisition,Shell Companies,112992367
ACAD,ACADIA Pharmaceuticals,Biotechnology,3071013900
ACAH,Atlantic Coastal Acquisition,Shell Companies,122427032
ACAQ,Athena Consumer Acquisition,Shell Companies,343576989
ACAX,Alset Capital Acquisition,Shell Companies,115701400
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,228461295
ACBA,Ace Global Business Acquisition,Shell Companies,65806980
ACCD,Accolade,Health Information Services,1004456515
ACCO,ACCO Brands,Business Equipment & Supplies,511604786
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,741763188
ACEL,Accel Entertainment,Gambling,792972993
ACER,Acer Therapeutics,Biotechnology,20608578
ACET,Adicet Bio,Biotechnology,244843500
ACGL,Arch Capital Group,Insurance - Diversified,25558597200
ACGN,Aceragen,Biotechnology,7052560
ACHC,Acadia Healthcare Company,Medical Care Facilities,6624874230
ACHL,Achilles Therapeutics,Biotechnology,37513283
ACHR,Archer Aviation,Aerospace & Defense,682719095
ACHV,Achieve Life Sciences,Biotechnology,129098880
ACI,Albertsons Companies,Grocery Stores,11905204467
ACIU,AC Immune,Biotechnology,188982104
ACIW,ACI Worldwide,Software - Infrastructure,2868211360
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4332001122
ACLX,Arcellx,Biotechnology,1405072548
ACM,AECOM,Engineering & Construction,11741275000
ACMR,ACM Research,Semiconductor Equipment & Materials,728377820
ACN,Accenture,Information Technology Services,180517116027
ACNB,ACNB Corporation,Banks - Regional,267114609
